date,intelligence_index
2025-02-02,0.303545
2025-02-03,0.303545
2025-02-04,0.303545
2025-02-05,0.303545
2025-02-06,0.303545
2025-02-07,0.303545
2025-02-08,0.303545
2025-02-09,0.303545
2025-02-10,0.303883
2025-02-11,0.304220
2025-02-12,0.304220
2025-02-13,0.304558
2025-02-14,0.304558
2025-02-15,0.303714
2025-02-16,0.303545
2025-02-17,0.303883
2025-02-18,0.303883
2025-02-19,0.303883
2025-02-20,0.303883
2025-02-21,0.303883
2025-02-22,0.305233
2025-02-23,0.305571
2025-02-24,0.305571
2025-02-25,0.305571
2025-02-26,0.305571
2025-02-27,0.305571
2025-02-28,0.305740
2025-03-01,0.306921
2025-03-02,0.306921
2025-03-03,0.306921
2025-03-04,0.306921
2025-03-05,0.306921
2025-03-06,0.306921
2025-03-07,0.306921
2025-03-08,0.306921
2025-03-09,0.306921
2025-03-10,0.306921
2025-03-11,0.305908
2025-03-12,0.303883
2025-03-13,0.301857
2025-03-14,0.299831
2025-03-15,0.297805
2025-03-16,0.295611
2025-03-17,0.293754
2025-03-18,0.291391
2025-03-19,0.289365
2025-03-20,0.287339
2025-03-21,0.284976
2025-03-22,0.283625
2025-03-23,0.282275
2025-03-24,0.280924
2025-03-25,0.280080
2025-03-26,0.279911
2025-03-27,0.279911
2025-03-28,0.280587
2025-03-29,0.280587
2025-03-30,0.280587
2025-03-31,0.280587
2025-04-01,0.280587
2025-04-02,0.280755
2025-04-03,0.281599
2025-04-04,0.281599
2025-04-05,0.281599
2025-04-06,0.281599
2025-04-07,0.282950
2025-04-08,0.283625
2025-04-09,0.284300
2025-04-10,0.285313
2025-04-11,0.285313
2025-04-12,0.287001
2025-04-13,0.289027
2025-04-14,0.291053
2025-04-15,0.292066
2025-04-16,0.293923
2025-04-17,0.294767
2025-04-18,0.295611
2025-04-19,0.297130
2025-04-20,0.298481
2025-04-21,0.298481
2025-04-22,0.300506
2025-04-23,0.305064
2025-04-24,0.306246
2025-04-25,0.306246
2025-04-26,0.304896
2025-04-27,0.303714
2025-04-28,0.302195
2025-04-29,0.301350
2025-04-30,0.299494
2025-05-01,0.297974
2025-05-02,0.297130
2025-05-03,0.295949
2025-05-04,0.295780
2025-05-05,0.300506
2025-05-06,0.301182
2025-05-07,0.304051
2025-05-08,0.310973
2025-05-09,0.319920
2025-05-10,0.328867
2025-05-11,0.337814
2025-05-12,0.347099
2025-05-13,0.356383
2025-05-14,0.366850
2025-05-15,0.376472
2025-05-16,0.385925
2025-05-17,0.395041
2025-05-18,0.401963
2025-05-19,0.401456
2025-05-20,0.404832
2025-05-21,0.405845
2025-05-22,0.404157
2025-05-23,0.403819
2025-05-24,0.401287
2025-05-25,0.397067
2025-05-26,0.391834
2025-05-27,0.384913
2025-05-28,0.377147
2025-05-29,0.369719
2025-05-30,0.362292
2025-05-31,0.354864
2025-06-01,0.348280
2025-06-02,0.343722
2025-06-03,0.338658
2025-06-04,0.332581
2025-06-05,0.327516
2025-06-06,0.321102
2025-06-07,0.314349
2025-06-08,0.309960
2025-06-09,0.307428
2025-06-10,0.306246
2025-06-11,0.306246
2025-06-12,0.305571
2025-06-13,0.305233
2025-06-14,0.305233
2025-06-15,0.305233
2025-06-16,0.307934
2025-06-17,0.310635
2025-06-18,0.310973
2025-06-19,0.311310
2025-06-20,0.314687
2025-06-21,0.317725
2025-06-22,0.321102
2025-06-23,0.324140
2025-06-24,0.323634
2025-06-25,0.322114
2025-06-26,0.321777
2025-06-27,0.325491
2025-06-28,0.331905
2025-06-29,0.338658
2025-06-30,0.344398
2025-07-01,0.349462
2025-07-02,0.355708
2025-07-03,0.361279
2025-07-04,0.366174
2025-07-05,0.371408
2025-07-06,0.376303
2025-07-07,0.382549
2025-07-08,0.390315
2025-07-09,0.399262
2025-07-10,0.407196
2025-07-11,0.412598
2025-07-12,0.413273
2025-07-13,0.413273
2025-07-14,0.412260
2025-07-15,0.406689
2025-07-16,0.401456
2025-07-17,0.400443
2025-07-18,0.400106
2025-07-19,0.399430
2025-07-20,0.399430
2025-07-21,0.398924
2025-07-22,0.398417
2025-07-23,0.398080
2025-07-24,0.397405
2025-07-25,0.397405
2025-07-26,0.397405
2025-07-27,0.397067
2025-07-28,0.398080
2025-07-29,0.403482
2025-07-30,0.408209
2025-07-31,0.409390
2025-08-01,0.409897
2025-08-02,0.409897
2025-08-03,0.409559
2025-08-04,0.409559
2025-08-05,0.409559
2025-08-06,0.409897
2025-08-07,0.411247
2025-08-08,0.412260
2025-08-09,0.412935
2025-08-10,0.413611
2025-08-11,0.413611
2025-08-12,0.413273
2025-08-13,0.413611
2025-08-14,0.413611
2025-08-15,0.415636
2025-08-16,0.416987
2025-08-17,0.418169
2025-08-18,0.419350
2025-08-19,0.420870
2025-08-20,0.421714
2025-08-21,0.421714
2025-08-22,0.421376
2025-08-23,0.421376
2025-08-24,0.422051
2025-08-25,0.423064
2025-08-26,0.424077
2025-08-27,0.425090
2025-08-28,0.425765
2025-08-29,0.424752
2025-08-30,0.424415
2025-08-31,0.424415
2025-09-01,0.424752
2025-09-02,0.426103
2025-09-03,0.427453
2025-09-04,0.427791
2025-09-05,0.427791
2025-09-06,0.429141
2025-09-07,0.429141
2025-09-08,0.429479
2025-09-09,0.429479
2025-09-10,0.430829
2025-09-11,0.432349
2025-09-12,0.433530
2025-09-13,0.435050
2025-09-14,0.436569
2025-09-15,0.437751
2025-09-16,0.437920
2025-09-17,0.437920
2025-09-18,0.438932
2025-09-19,0.440452
2025-09-20,0.440621
2025-09-21,0.441802
2025-09-22,0.442984
2025-09-23,0.444334
2025-09-24,0.444672
2025-09-25,0.443322
2025-09-26,0.443322
2025-09-27,0.443322
2025-09-28,0.443322
2025-09-29,0.443322
2025-09-30,0.443997
2025-10-01,0.446360
2025-10-02,0.447373
2025-10-03,0.448048
2025-10-04,0.448048
2025-10-05,0.448048
2025-10-06,0.448048
2025-10-07,0.448386
2025-10-08,0.450918
2025-10-09,0.452437
2025-10-10,0.452437
2025-10-11,0.452437
2025-10-12,0.452437
2025-10-13,0.452437
2025-10-14,0.451762
2025-10-15,0.449399
2025-10-16,0.448555
2025-10-17,0.448048
2025-10-18,0.447711
2025-10-19,0.447711
2025-10-20,0.447711
2025-10-21,0.445010
2025-10-22,0.442646
2025-10-23,0.442309
2025-10-24,0.441296
2025-10-25,0.441296
2025-10-26,0.441296
2025-10-27,0.441465
2025-10-28,0.443659
2025-10-29,0.446360
2025-10-30,0.449399
2025-10-31,0.452269
2025-11-01,0.454801
2025-11-02,0.457839
2025-11-03,0.461216
2025-11-04,0.465098
2025-11-05,0.468306
2025-11-06,0.471682
2025-11-07,0.475396
2025-11-08,0.478266
2025-11-09,0.481135
2025-11-10,0.483668
2025-11-11,0.484512
2025-11-12,0.484512
2025-11-13,0.484512
2025-11-14,0.484512
2025-11-15,0.484512
2025-11-16,0.484512
2025-11-17,0.484512
2025-11-18,0.484512
2025-11-19,0.484512
2025-11-20,0.484512
2025-11-21,0.484512
2025-11-22,0.484512
2025-11-23,0.484512
2025-11-24,0.484512
2025-11-25,0.484512
2025-11-26,0.484512
2025-11-27,0.484512
2025-11-28,0.484512
2025-11-29,0.484512
2025-11-30,0.484512
2025-12-01,0.484512
2025-12-02,0.484512
2025-12-03,0.484512
2025-12-04,0.484512
2025-12-05,0.484512
2025-12-06,0.484512
2025-12-07,0.484512
2025-12-08,0.484512
2025-12-09,0.484512
2025-12-10,0.484512
2025-12-11,0.484512
2025-12-12,0.484512
2025-12-13,0.484512
2025-12-14,0.484343
2025-12-15,0.482824
2025-12-16,0.479785
2025-12-17,0.475733
2025-12-18,0.471007
2025-12-19,0.467293
2025-12-20,0.463917
2025-12-21,0.460540
2025-12-22,0.455645
2025-12-23,0.450074
2025-12-24,0.445010
2025-12-25,0.440283
2025-12-26,0.436400
2025-12-27,0.435894
2025-12-28,0.435894
2025-12-29,0.436907
2025-12-30,0.438257
2025-12-31,0.438257
2026-01-01,0.438257
2026-01-02,0.438257
2026-01-03,0.438257
2026-01-04,0.438257
2026-01-05,0.438257
2026-01-06,0.438257
